Exchange Date,Close
12-Feb-2019,2.688
11-Feb-2019,2.642
08-Feb-2019,2.583
07-Feb-2019,2.551
06-Feb-2019,2.662
05-Feb-2019,2.662
04-Feb-2019,2.660
01-Feb-2019,2.734
31-Jan-2019,2.814
30-Jan-2019,2.854
29-Jan-2019,2.950
28-Jan-2019,2.911
25-Jan-2019,3.178
24-Jan-2019,3.099
23-Jan-2019,2.980
22-Jan-2019,3.040
18-Jan-2019,3.482
17-Jan-2019,3.413
16-Jan-2019,3.384
15-Jan-2019,3.501
14-Jan-2019,3.591
11-Jan-2019,3.099
10-Jan-2019,2.969
09-Jan-2019,2.984
08-Jan-2019,2.967
07-Jan-2019,2.944
04-Jan-2019,3.044
03-Jan-2019,2.945
02-Jan-2019,2.958
31-Dec-2018,2.940
28-Dec-2018,3.303
27-Dec-2018,3.642
26-Dec-2018,3.543
24-Dec-2018,3.467
21-Dec-2018,3.816
20-Dec-2018,3.583
19-Dec-2018,3.726
18-Dec-2018,3.838
17-Dec-2018,3.528
14-Dec-2018,3.827
13-Dec-2018,4.124
12-Dec-2018,4.136
11-Dec-2018,4.407
10-Dec-2018,4.545
07-Dec-2018,4.488
06-Dec-2018,4.327
05-Dec-2018,4.469
04-Dec-2018,4.457
03-Dec-2018,4.339
30-Nov-2018,4.612
29-Nov-2018,4.646
28-Nov-2018,4.715
27-Nov-2018,4.262
26-Nov-2018,4.248
23-Nov-2018,4.308
21-Nov-2018,4.451
20-Nov-2018,4.523
19-Nov-2018,4.700
16-Nov-2018,4.272
15-Nov-2018,4.038
14-Nov-2018,4.837
13-Nov-2018,4.101
12-Nov-2018,3.788
09-Nov-2018,3.719
08-Nov-2018,3.543
07-Nov-2018,3.555
06-Nov-2018,3.555
05-Nov-2018,3.567
02-Nov-2018,3.284
01-Nov-2018,3.237
31-Oct-2018,3.261
30-Oct-2018,3.187
29-Oct-2018,3.185
26-Oct-2018,3.185
25-Oct-2018,3.202
24-Oct-2018,3.166
23-Oct-2018,3.212
22-Oct-2018,3.138
19-Oct-2018,3.250
18-Oct-2018,3.198
17-Oct-2018,3.320
16-Oct-2018,3.239
15-Oct-2018,3.242
12-Oct-2018,3.161
11-Oct-2018,3.222
10-Oct-2018,3.284
09-Oct-2018,3.266
08-Oct-2018,3.267
05-Oct-2018,3.143
04-Oct-2018,3.165
03-Oct-2018,3.230
02-Oct-2018,3.166
01-Oct-2018,3.094
28-Sep-2018,3.008
27-Sep-2018,3.056
26-Sep-2018,3.021
25-Sep-2018,3.082
24-Sep-2018,3.038
21-Sep-2018,2.977
20-Sep-2018,2.976
19-Sep-2018,2.908
18-Sep-2018,2.933
17-Sep-2018,2.814
14-Sep-2018,2.767
13-Sep-2018,2.817
12-Sep-2018,2.829
11-Sep-2018,2.828
10-Sep-2018,2.804
07-Sep-2018,2.776
06-Sep-2018,2.772
05-Sep-2018,2.795
04-Sep-2018,2.823
31-Aug-2018,2.916
30-Aug-2018,2.874
29-Aug-2018,2.895
28-Aug-2018,2.852
27-Aug-2018,2.876
24-Aug-2018,2.917
23-Aug-2018,2.964
22-Aug-2018,2.956
21-Aug-2018,2.980
20-Aug-2018,2.941
17-Aug-2018,2.946
16-Aug-2018,2.908
15-Aug-2018,2.940
14-Aug-2018,2.959
13-Aug-2018,2.930
10-Aug-2018,2.944
09-Aug-2018,2.955
08-Aug-2018,2.949
07-Aug-2018,2.897
06-Aug-2018,2.860
03-Aug-2018,2.853
02-Aug-2018,2.816
01-Aug-2018,2.758
31-Jul-2018,2.782
30-Jul-2018,2.797
27-Jul-2018,2.822
26-Jul-2018,2.780
25-Jul-2018,2.775
24-Jul-2018,2.732
23-Jul-2018,2.721
20-Jul-2018,2.757
19-Jul-2018,2.769
18-Jul-2018,2.721
17-Jul-2018,2.740
16-Jul-2018,2.759
13-Jul-2018,2.752
12-Jul-2018,2.797
11-Jul-2018,2.829
10-Jul-2018,2.788
09-Jul-2018,2.828
06-Jul-2018,2.858
05-Jul-2018,2.837
03-Jul-2018,2.870
02-Jul-2018,2.862
29-Jun-2018,2.924
28-Jun-2018,2.940
27-Jun-2018,2.996
26-Jun-2018,2.939
25-Jun-2018,2.923
22-Jun-2018,2.945
21-Jun-2018,2.975
20-Jun-2018,2.964
19-Jun-2018,2.900
18-Jun-2018,2.951
15-Jun-2018,3.022
14-Jun-2018,2.965
13-Jun-2018,2.963
12-Jun-2018,2.939
11-Jun-2018,2.949
08-Jun-2018,2.890
07-Jun-2018,2.930
06-Jun-2018,2.896
05-Jun-2018,2.890
04-Jun-2018,2.930
01-Jun-2018,2.962
